n  ,algo   ,time                  ,comparisons
42 ,insert ,0.19621849060058594   ,        861
42 ,merge  ,0.053882598876953125  ,        175
42 ,hybrid ,0.04792213439941406   ,        178
43 ,insert ,0.21195411682128906   ,        903
43 ,merge  ,0.05602836608886719   ,        182
43 ,hybrid ,0.04887580871582031   ,        185
44 ,insert ,0.2319812774658203    ,        946
44 ,merge  ,0.05984306335449219   ,        188
44 ,hybrid ,0.051975250244140625  ,        194
45 ,insert ,0.2090930938720703    ,        990
45 ,merge  ,0.05793571472167969   ,        186
45 ,hybrid ,0.051975250244140625  ,        190
46 ,insert ,0.23603439331054688   ,       1035
46 ,merge  ,0.06008148193359375   ,        195
46 ,hybrid ,0.05173683166503906   ,        200
47 ,insert ,0.2319812774658203    ,       1081
47 ,merge  ,0.0629425048828125    ,        207
47 ,hybrid ,0.05507469177246094   ,        210
48 ,insert ,0.26607513427734375   ,       1128
48 ,merge  ,0.0629425048828125    ,        209
48 ,hybrid ,0.05507469177246094   ,        215
49 ,insert ,0.2732276916503906    ,       1176
49 ,merge  ,0.064849853515625     ,        209
49 ,hybrid ,0.05507469177246094   ,        219
 2 ,insert ,0.0                   ,          1
 2 ,merge  ,0.00095367431640625   ,          1
 2 ,hybrid ,0.00095367431640625   ,          1
 3 ,insert ,0.0011920928955078125 ,          3
 3 ,merge  ,0.0021457672119140625 ,          3
 3 ,hybrid ,0.00095367431640625   ,          3
 4 ,insert ,0.0019073486328125    ,          6
 4 ,merge  ,0.00286102294921875   ,          4
 4 ,hybrid ,0.00095367431640625   ,          6
 5 ,insert ,0.0030994415283203125 ,         10
 5 ,merge  ,0.0040531158447265625 ,          6
 5 ,hybrid ,0.003814697265625     ,          7
 6 ,insert ,0.003814697265625     ,         15
 6 ,merge  ,0.005245208740234375  ,         11
 6 ,hybrid ,0.003814697265625     ,         11
 7 ,insert ,0.006198883056640625  ,         21
 7 ,merge  ,0.0057220458984375    ,         13
 7 ,hybrid ,0.005245208740234375  ,         14
 8 ,insert ,0.007867813110351562  ,         28
 8 ,merge  ,0.007152557373046875  ,         17
 8 ,hybrid ,0.0057220458984375    ,         19
 9 ,insert ,0.010967254638671875  ,         36
 9 ,merge  ,0.009298324584960938  ,         20
 9 ,hybrid ,0.0069141387939453125 ,         22
10 ,insert ,0.014066696166992188  ,         45
10 ,merge  ,0.010013580322265625  ,         24
10 ,hybrid ,0.007867813110351562  ,         24
11 ,insert ,0.014066696166992188  ,         55
11 ,merge  ,0.010967254638671875  ,         28
11 ,hybrid ,0.009059906005859375  ,         28
12 ,insert ,0.01811981201171875   ,         66
12 ,merge  ,0.011920928955078125  ,         32
12 ,hybrid ,0.010013580322265625  ,         33
13 ,insert ,0.016689300537109375  ,         78
13 ,merge  ,0.012874603271484375  ,         33
13 ,hybrid ,0.010013580322265625  ,         35
14 ,insert ,0.025272369384765625  ,         91
14 ,merge  ,0.013828277587890625  ,         36
14 ,hybrid ,0.011920928955078125  ,         41
15 ,insert ,0.0247955322265625    ,        105
15 ,merge  ,0.01621246337890625   ,         44
15 ,hybrid ,0.013828277587890625  ,         48
16 ,insert ,0.03314018249511719   ,        120
16 ,merge  ,0.016689300537109375  ,         47
16 ,hybrid ,0.01430511474609375   ,         51
17 ,insert ,0.03886222839355469   ,        136
17 ,merge  ,0.017881393432617188  ,         51
17 ,hybrid ,0.01621246337890625   ,         57
18 ,insert ,0.04291534423828125   ,        153
18 ,merge  ,0.018835067749023438  ,         55
18 ,hybrid ,0.016927719116210938  ,         58
19 ,insert ,0.041961669921875     ,        171
19 ,merge  ,0.0209808349609375    ,         58
19 ,hybrid ,0.01811981201171875   ,         61
20 ,insert ,0.047206878662109375  ,        190
20 ,merge  ,0.02193450927734375   ,         64
20 ,hybrid ,0.02002716064453125   ,         64
21 ,insert ,0.05412101745605469   ,        210
21 ,merge  ,0.02288818359375      ,         64
21 ,hybrid ,0.018835067749023438  ,         66
22 ,insert ,0.051975250244140625  ,        231
22 ,merge  ,0.025033950805664062  ,         71
22 ,hybrid ,0.0209808349609375    ,         73
23 ,insert ,0.057697296142578125  ,        253
23 ,merge  ,0.026226043701171875  ,         74
23 ,hybrid ,0.02193450927734375   ,         77
24 ,insert ,0.06628036499023438   ,        276
24 ,merge  ,0.027894973754882812  ,         82
24 ,hybrid ,0.025033950805664062  ,         85
25 ,insert ,0.07700920104980469   ,        300
25 ,merge  ,0.029802322387695312  ,         87
25 ,hybrid ,0.02384185791015625   ,         91
26 ,insert ,0.07891654968261719   ,        325
26 ,merge  ,0.030279159545898438  ,         95
