Size of Array, Insertion Sort Time (ms), Merge Sort Time (ms), Hybrid Sort Time (ms)
589, 42.05, 2.45, 100.00
590, 40.74, 2.45, 100.00
591, 41.90, 2.56, 100.00
592, 42.62, 2.56, 100.00
593, 41.21, 2.56, 100.00
594, 46.29, 2.85, 100.00
595, 42.78, 2.59, 100.00
596, 42.86, 2.68, 100.00
597, 42.00, 2.62, 100.00
598, 44.38, 2.67, 100.00
599, 44.47, 2.65, 100.00
600, 44.37, 2.64, 100.00
601, 43.86, 2.60, 100.00
602, 43.35, 2.59, 100.00
603, 43.95, 2.65, 100.00
604, 42.89, 2.63, 100.00
605, 45.06, 2.61, 100.00
606, 44.69, 2.69, 100.00
607, 45.21, 2.70, 100.00
608, 53.63, 2.79, 100.00
609, 48.66, 2.88, 100.00
610, 45.69, 2.70, 100.00
611, 45.92, 2.81, 100.00
612, 44.51, 2.76, 100.00
613, 45.51, 2.77, 100.00
614, 47.32, 2.76, 100.00
615, 46.28, 2.66, 100.00
616, 44.45, 2.69, 100.00
617, 44.31, 2.63, 100.00
618, 44.82, 2.68, 100.00
619, 45.92, 2.73, 100.00
620, 45.53, 2.72, 100.00
621, 46.02, 2.67, 100.00
622, 45.93, 2.73, 100.00
623, 47.09, 2.76, 100.00
624, 46.56, 2.71, 100.00
625, 46.52, 2.74, 100.00
626, 45.75, 2.77, 100.00
627, 47.50, 2.86, 100.00
628, 49.69, 2.76, 100.00
629, 47.31, 2.97, 100.00
630, 48.74, 2.91, 100.00
631, 47.25, 2.89, 100.00
632, 47.98, 2.87, 100.00
633, 47.94, 2.88, 100.00
634, 50.57, 2.83, 100.00
635, 48.10, 2.93, 100.00
636, 49.77, 2.95, 100.00
637, 50.21, 2.91, 100.00
638, 49.30, 4.60, 100.00
639, 47.69, 2.88, 100.00
640, 49.38, 2.98, 100.00
641, 49.19, 3.07, 100.00
642, 49.72, 3.01, 100.00
643, 50.65, 3.06, 100.00
644, 52.41, 3.04, 100.00
645, 51.17, 2.91, 100.00
646, 52.06, 3.01, 100.00
647, 50.44, 2.90, 100.00
648, 51.60, 2.94, 100.00
649, 51.04, 2.93, 100.00
650, 50.94, 3.17, 100.00
651, 52.47, 2.83, 100.00
652, 52.51, 2.98, 100.00
653, 51.93, 2.94, 100.00
654, 51.39, 2.95, 100.00
