sizeOfArray,algo,time,comparisions
21428,merge,66.50614738464355,281813
21428,hybrid,63.72499465942383,283421
21456,merge,65.4611587524414,282035
21456,hybrid,63.16208839416504,283710
21572,merge,68.25399398803711,283678
21572,hybrid,63.49611282348633,285384
21696,merge,65.70911407470703,285531
21696,hybrid,62.54005432128906,287290
21799,merge,66.09416007995605,287063
21799,hybrid,63.30990791320801,288879
21906,merge,68.44806671142578,288532
21906,hybrid,64.82982635498047,290397
22000,merge,66.87283515930176,290144
22000,hybrid,63.121795654296875,291986
22134,merge,68.43209266662598,291962
22134,hybrid,65.60301780700684,293877
22184,merge,71.5799331665039,292814
22184,hybrid,65.82498550415039,294746
22315,merge,69.1227912902832,294715
22315,hybrid,64.4068717956543,296754
22375,merge,67.93498992919922,295555
22375,hybrid,64.88394737243652,297572
22519,merge,68.37797164916992,297790
22519,hybrid,65.34385681152344,299838
22559,merge,69.93293762207031,298239
22559,hybrid,67.15011596679688,300229
22692,merge,70.55187225341797,300221
22692,hybrid,65.3221607208252,302318
22798,merge,69.49687004089355,301708
22798,hybrid,65.52815437316895,303803
22898,merge,69.91815567016602,303173
22898,hybrid,67.79694557189941,305310
22975,merge,72.01504707336426,304341
22975,hybrid,66.74909591674805,306510
23122,merge,70.5869197845459,306369
23122,hybrid,66.28203392028809,308585
23224,merge,70.70684432983398,308143
23224,hybrid,66.76483154296875,310407
23305,merge,71.20490074157715,309142
23305,hybrid,67.05594062805176,311453
23413,merge,71.58231735229492,310591
23413,hybrid,68.4199333190918,312923
23471,merge,74.27000999450684,311697
23471,hybrid,69.7779655456543,314060
23584,merge,72.57318496704102,313281
23584,hybrid,67.79313087463379,315714
23693,merge,72.52311706542969,314807
23693,hybrid,68.14694404602051,317261
23801,merge,72.93391227722168,316573
23801,hybrid,68.48001480102539,319049
23857,merge,74.74088668823242,317181
23857,hybrid,70.92523574829102,319668
24027,merge,74.94616508483887,319519
24027,hybrid,73.58384132385254,322129
24093,merge,75.88410377502441,320566
24093,hybrid,69.58603858947754,323192
24224,merge,74.26309585571289,322580
24224,hybrid,69.5030689239502,325220
24324,merge,74.40829277038574,324016
24324,hybrid,70.07193565368652,326669
24363,merge,75.0572681427002,324628
24363,hybrid,69.85878944396973,327335
24514,merge,76.20787620544434,326738
24514,hybrid,72.85881042480469,329462
24595,merge,77.72493362426758,328086
24595,hybrid,71.32911682128906,330784
24716,merge,75.77204704284668,329824
24716,hybrid,71.14815711975098,332684
24804,merge,76.02119445800781,331192
24804,hybrid,71.93112373352051,334157
24881,merge,80.88994026184082,332341
24881,hybrid,75.64282417297363,335382
24992,merge,77.24380493164062,334049
24992,hybrid,72.02887535095215,337131
25135,merge,77.43501663208008,336060
25135,hybrid,72.44300842285156,339326
25174,merge,80.38997650146484,336539
25174,hybrid,75.29377937316895,339967
25313,merge,77.9731273651123,338672
25313,hybrid,73.27890396118164,342215
25393,merge,77.98290252685547,339832
25393,hybrid,73.34518432617188,343402
25489,merge,78.19700241088867,341420
25489,hybrid,74.19085502624512,344993
25635,merge,78.88412475585938,343612
25635,hybrid,74.08595085144043,347426
25706,merge,80.08599281311035,344664
25706,hybrid,76.19404792785645,348510
25774,merge,81.88915252685547,345573
25774,hybrid,75.66285133361816,349566
25864,merge,79.50782775878906,346773
25864,hybrid,74.9821662902832,350855
26001,merge,80.00397682189941,348927
26001,hybrid,75.57392120361328,353099
26111,merge,82.37385749816895,350472
26111,hybrid,78.89580726623535,354729
26224,merge,81.30502700805664,352226
26224,hybrid,75.8512020111084,356567
26314,merge,82.41081237792969,353669
26314,hybrid,78.62210273742676,358106
26395,merge,85.67285537719727,354798
26395,hybrid,80.09910583496094,359280
26501,merge,83.93692970275879,356492
26501,hybrid,76.94792747497559,361076
26597,merge,82.44776725769043,357885
26597,hybrid,76.82299613952637,362592
26688,merge,83.44912528991699,359134
26688,hybrid,80.54900169372559,363983
26841,merge,84.26094055175781,361411
26841,hybrid,78.76205444335938,366408
26901,merge,83.43911170959473,362367
26901,hybrid,79.56624031066895,367433
26991,merge,86.8837833404541,363583
26991,hybrid,83.12416076660156,368761
27127,merge,84.24592018127441,365703
27127,hybrid,81.21919631958008,370895
27170,merge,86.61389350891113,366324
27170,hybrid,79.53000068664551,371676
27306,merge,84.39087867736816,368295
27306,hybrid,79.31089401245117,373732
27384,merge,85.3888988494873,369282
27384,hybrid,79.45108413696289,374850
27503,merge,85.32309532165527,371405
27503,hybrid,79.5600414276123,377093
27584,merge,85.5400562286377,372467
27584,hybrid,79.81991767883301,378224
27718,merge,85.87288856506348,374459
27718,hybrid,80.10292053222656,380332
27769,merge,86.50588989257812,375334
27769,hybrid,83.89496803283691,381291
27940,merge,89.6766185760498,377894
27940,hybrid,84.31696891784668,383940
28033,merge,89.70904350280762,379314
28033,hybrid,85.8311653137207,385426
28051,merge,89.19215202331543,379461
28051,hybrid,82.4739933013916,385717
28188,merge,87.44621276855469,381635
28188,hybrid,81.7561149597168,387906
28261,merge,87.86892890930176,382656
28261,hybrid,81.9709300994873,389057
28374,merge,88.18793296813965,384484
28374,hybrid,82.17692375183105,391015
28455,merge,88.24610710144043,385465
28455,hybrid,82.43703842163086,392123
28583,merge,88.84000778198242,387386
28583,hybrid,82.87310600280762,394181
28668,merge,89.05601501464844,388783
28668,hybrid,83.1451416015625,395640
28752,merge,92.19098091125488,389961
28752,hybrid,85.4799747467041,396845
28934,merge,89.88690376281738,392537
28934,hybrid,84.73801612854004,399621
29048,merge,90.41285514831543,394251
29048,hybrid,84.35511589050293,401431
29116,merge,90.69395065307617,395273
29116,hybrid,84.77306365966797,402504
29151,merge,90.83914756774902,395712
29151,hybrid,84.61594581604004,403007
29334,merge,91.3999080657959,398548
29334,hybrid,85.25323867797852,406113
29441,merge,93.80197525024414,400209
29441,hybrid,86.82918548583984,407734
29460,merge,91.67003631591797,400577
29460,hybrid,85.83879470825195,408223
29647,merge,92.32878684997559,403398
29647,hybrid,86.3029956817627,411135
29727,merge,94.67220306396484,404535
29727,hybrid,88.97876739501953,412379
29811,merge,92.50998497009277,405588
29811,hybrid,86.67802810668945,413514
29878,merge,93.40405464172363,406847
29878,hybrid,87.57185935974121,414841
30026,merge,95.7190990447998,408902
30026,hybrid,89.91217613220215,417087
30082,merge,94.18201446533203,409883
30082,hybrid,88.97519111633301,418156
30228,merge,96.66800498962402,412068
30228,hybrid,89.10512924194336,420427
30267,merge,94.96212005615234,412486
30267,hybrid,91.13168716430664,420936
30367,merge,97.09596633911133,413967
30367,hybrid,93.8560962677002,422443
30469,merge,96.7559814453125,415597
30469,hybrid,90.07883071899414,424195
30601,merge,97.04089164733887,417495
30601,hybrid,91.98689460754395,426354
30672,merge,100.03495216369629,418633
30672,hybrid,92.9419994354248,427386
30785,merge,101.57275199890137,420205
30785,hybrid,94.23494338989258,429109
30851,merge,98.97804260253906,421294
30851,hybrid,92.02289581298828,430326
30974,merge,98.32978248596191,423342
30974,hybrid,93.06597709655762,432422
31117,merge,97.98693656921387,425454
31117,hybrid,90.76189994812012,434577
31206,merge,97.39899635314941,426907
31206,hybrid,94.45810317993164,436245
31298,merge,99.5180606842041,427936
31298,hybrid,92.25821495056152,437462
31390,merge,100.09312629699707,429433
31390,hybrid,93.2302474975586,438948
31498,merge,99.73406791687012,431120
31498,hybrid,92.71812438964844,440780
31554,merge,100.98671913146973,431749
31554,hybrid,95.50595283508301,441484
31702,merge,101.02701187133789,434216
31702,hybrid,94.94400024414062,444025
31847,merge,100.07596015930176,436297
31847,hybrid,93.16205978393555,446318
31933,merge,100.10218620300293,437617
31933,hybrid,93.30129623413086,447731
31955,merge,100.22711753845215,437852
31955,hybrid,93.40190887451172,447969
32143,merge,102.99801826477051,440729
32143,hybrid,97.62215614318848,451088
32154,merge,103.17516326904297,440770
32154,hybrid,98.09112548828125,451097
32259,merge,104.41875457763672,442498
32259,hybrid,95.81375122070312,452922
32395,merge,103.89184951782227,444522
32395,hybrid,96.86923027038574,455128
32471,merge,103.10101509094238,445521
32471,hybrid,95.31497955322266,456199
32593,merge,102.31399536132812,447463
32593,hybrid,95.40796279907227,458219
32708,merge,103.38687896728516,449074
32708,hybrid,99.27916526794434,460010
32769,merge,108.89911651611328,450093
32769,hybrid,101.57394409179688,460997
32852,merge,104.45904731750488,451066
32852,hybrid,96.5580940246582,461914
32993,merge,105.32689094543457,453638
32993,hybrid,97.4888801574707,464371
33128,merge,108.71315002441406,455639
33128,hybrid,101.08590126037598,466200
33199,merge,109.17186737060547,456681
33199,hybrid,100.39591789245605,467239
33329,merge,107.3148250579834,458714
33329,hybrid,100.50702095031738,469078
33402,merge,108.09803009033203,460058
33402,hybrid,99.54977035522461,470348
33484,merge,105.79037666320801,461181
33484,hybrid,98.84905815124512,471363
33635,merge,106.6899299621582,463573
33635,hybrid,99.49493408203125,473552
33655,merge,107.06496238708496,463666
33655,hybrid,102.61416435241699,473701
33827,merge,110.78715324401855,466300
33827,hybrid,104.0959358215332,476096
33941,merge,107.33485221862793,468033
33941,hybrid,100.36611557006836,477903
33993,merge,107.88989067077637,469046
33993,hybrid,100.83580017089844,478754
34123,merge,110.44192314147949,470767
34123,hybrid,105.26895523071289,480362
34231,merge,111.5109920501709,472531
34231,hybrid,104.42805290222168,481961
34294,merge,111.77706718444824,473772
34294,hybrid,105.10802268981934,483195
34414,merge,110.08405685424805,475552
34414,hybrid,104.13789749145508,484848
34538,merge,110.88895797729492,477407
34538,hybrid,107.34987258911133,486526
34642,merge,112.5190258026123,478939
34642,hybrid,105.04674911499023,488069
34739,merge,110.55684089660645,480348
34739,hybrid,103.67393493652344,489347
34786,merge,112.60628700256348,481134
34786,hybrid,105.59988021850586,490086
34867,merge,111.00912094116211,482487
