dimension,edges,isDirectional,minWeight,maxWeight,algo,time
25,297,False,0,50,dNormal,9.593963623046875
26,318,False,0,50,dHeapNList,394.8831558227539
26,318,False,0,50,dNormal,11.624336242675781
27,345,False,0,50,dHeapNList,427.4139404296875
27,345,False,0,50,dNormal,15.686750411987305
28,373,False,0,50,dHeapNList,542.431116104126
28,373,False,0,50,dNormal,19.703149795532227
29,396,False,0,50,dHeapNList,656.008243560791
29,396,False,0,50,dNormal,19.44279670715332
30,424,False,0,50,dHeapNList,687.2670650482178
30,424,False,0,50,dNormal,23.32329750061035
31,459,False,0,50,dHeapNList,887.8769874572754
31,459,False,0,50,dNormal,27.91285514831543
32,488,False,0,50,dHeapNList,986.5388870239258
32,488,False,0,50,dNormal,29.349088668823242
33,512,False,0,50,dHeapNList,986.2689971923828
33,512,False,0,50,dNormal,29.943227767944336
34,548,False,0,50,dHeapNList,1113.5468482971191
34,548,False,0,50,dNormal,33.44893455505371
35,585,False,0,50,dHeapNList,1345.8929061889648
35,585,False,0,50,dNormal,43.563127517700195
36,624,False,0,50,dHeapNList,1558.3291053771973
36,624,False,0,50,dNormal,49.756765365600586
37,653,False,0,50,dHeapNList,1684.675931930542
37,653,False,0,50,dNormal,61.45191192626953
38,688,False,0,50,dHeapNList,1777.9326438903809
38,688,False,0,50,dNormal,57.179927825927734
39,725,False,0,50,dHeapNList,1979.2850017547607
39,725,False,0,50,dNormal,70.4030990600586
40,767,False,0,50,dHeapNList,2330.605983734131
40,767,False,0,50,dNormal,77.35490798950195
41,804,False,0,50,dHeapNList,2449.971914291382
41,804,False,0,50,dNormal,88.31906318664551
42,852,False,0,50,dHeapNList,2897.6776599884033
42,852,False,0,50,dNormal,117.00987815856934
43,885,False,0,50,dHeapNList,3253.981828689575
43,885,False,0,50,dNormal,119.08483505249023
44,931,False,0,50,dHeapNList,3455.958843231201
44,931,False,0,50,dNormal,125.38790702819824
45,972,False,0,50,dHeapNList,3933.00199508667
45,972,False,0,50,dNormal,204.19788360595703
46,1018,False,0,50,dHeapNList,4265.3608322143555
46,1018,False,0,50,dNormal,382.00902938842773
47,1064,False,0,50,dHeapNList,4337.693214416504
47,1064,False,0,50,dNormal,198.21810722351074
48,1110,False,0,50,dHeapNList,4699.126958847046
48,1110,False,0,50,dNormal,180.5870532989502
49,1152,False,0,50,dHeapNList,5450.361967086792
49,1152,False,0,50,dNormal,186.31792068481445
50,1199,False,0,50,dHeapNList,6177.09493637085
50,1199,False,0,50,dNormal,260.1652145385742
51,1251,False,0,50,dHeapNList,6454.1497230529785
51,1251,False,0,50,dNormal,256.4210891723633
52,1303,False,0,50,dHeapNList,6787.225961685181
52,1303,False,0,50,dNormal,255.5840015411377
53,1351,False,0,50,dHeapNList,8495.094060897827
53,1351,False,0,50,dNormal,296.54788970947266
54,1403,False,0,50,dHeapNList,7584.476947784424
54,1403,False,0,50,dNormal,263.77081871032715
55,1457,False,0,50,dHeapNList,10481.860876083374
55,1457,False,0,50,dNormal,407.28282928466797
56,1504,False,0,50,dHeapNList,9042.733907699585
56,1504,False,0,50,dNormal,430.74488639831543
57,1566,False,0,50,dHeapNList,10158.126831054688
57,1566,False,0,50,dNormal,381.4830780029297
58,1630,False,0,50,dHeapNList,10601.119995117188
58,1630,False,0,50,dNormal,343.84822845458984
59,1678,False,0,50,dHeapNList,11639.57405090332
59,1678,False,0,50,dNormal,539.6440029144287
1,0,False,0,50,dHeapNList,0.0030994415283203125
1,0,False,0,50,dNormal,0.0019073486328125
2,1,False,0,50,dHeapNList,0.007867813110351562
2,1,False,0,50,dNormal,0.0050067901611328125
3,3,False,0,50,dHeapNList,0.021219253540039062
3,3,False,0,50,dNormal,0.010967254638671875
4,6,False,0,50,dHeapNList,0.052928924560546875
4,6,False,0,50,dNormal,0.01811981201171875
5,10,False,0,50,dHeapNList,0.16307830810546875
5,10,False,0,50,dNormal,0.035762786865234375
6,15,False,0,50,dHeapNList,0.4589557647705078
6,15,False,0,50,dNormal,0.06103515625
7,19,False,0,50,dHeapNList,0.7069110870361328
7,19,False,0,50,dNormal,0.09608268737792969
8,26,False,0,50,dHeapNList,1.5180110931396484
8,26,False,0,50,dNormal,0.12302398681640625
9,35,False,0,50,dHeapNList,3.2339096069335938
9,35,False,0,50,dNormal,0.1900196075439453
10,44,False,0,50,dHeapNList,5.746364593505859
10,44,False,0,50,dNormal,0.29730796813964844
11,52,False,0,50,dHeapNList,7.750988006591797
11,52,False,0,50,dNormal,0.3809928894042969
12,64,False,0,50,dHeapNList,14.87588882446289
12,64,False,0,50,dNormal,0.6358623504638672
13,78,False,0,50,dHeapNList,19.140005111694336
13,78,False,0,50,dNormal,0.7622241973876953
14,89,False,0,50,dHeapNList,26.108264923095703
14,89,False,0,50,dNormal,1.1150836944580078
15,102,False,0,50,dHeapNList,33.80107879638672
15,102,False,0,50,dNormal,1.2097358703613281
16,119,False,0,50,dHeapNList,48.258066177368164
16,119,False,0,50,dNormal,1.6629695892333984
17,130,False,0,50,dHeapNList,56.6411018371582
17,130,False,0,50,dNormal,2.130746841430664
18,149,False,0,50,dHeapNList,75.5000114440918
18,149,False,0,50,dNormal,2.6030540466308594
19,170,False,0,50,dHeapNList,111.41228675842285
19,170,False,0,50,dNormal,3.844022750854492
20,184,False,0,50,dHeapNList,130.41925430297852
