dimension,edges,isDirectional,minWeight,maxWeight,queue,graphInput,time
700,214373,False,0,7,array,adjList,220.95513343811035
700,214373,False,0,7,array,adjMatrix,304.2271137237549
700,217580,False,0,8,heap,adjList,206.30717277526855
700,217580,False,0,8,heap,adjMatrix,293.1368350982666
700,217580,False,0,8,array,adjList,241.7910099029541
700,217580,False,0,8,array,adjMatrix,311.97595596313477
700,220048,False,0,9,heap,adjList,210.53314208984375
700,220048,False,0,9,heap,adjMatrix,280.393123626709
700,220048,False,0,9,array,adjList,259.2949867248535
700,220048,False,0,9,array,adjMatrix,325.2451419830322
700,222350,False,0,10,heap,adjList,203.62091064453125
700,222350,False,0,10,heap,adjMatrix,273.0259895324707
700,222350,False,0,10,array,adjList,253.93390655517578
700,222350,False,0,10,array,adjMatrix,319.7622299194336
700,224384,False,0,11,heap,adjList,209.62214469909668
700,224384,False,0,11,heap,adjMatrix,279.74724769592285
700,224384,False,0,11,array,adjList,263.05198669433594
700,224384,False,0,11,array,adjMatrix,338.3500576019287
700,225948,False,0,12,heap,adjList,210.43777465820312
700,225948,False,0,12,heap,adjMatrix,280.35998344421387
700,225948,False,0,12,array,adjList,280.69186210632324
700,225948,False,0,12,array,adjMatrix,346.80819511413574
700,226941,False,0,13,heap,adjList,207.77297019958496
700,226941,False,0,13,heap,adjMatrix,280.03501892089844
700,226941,False,0,13,array,adjList,288.87009620666504
700,226941,False,0,13,array,adjMatrix,356.6021919250488
700,228573,False,0,14,heap,adjList,208.5251808166504
700,228573,False,0,14,heap,adjMatrix,278.872013092041
700,228573,False,0,14,array,adjList,299.4499206542969
700,228573,False,0,14,array,adjMatrix,370.27716636657715
700,229107,False,0,15,heap,adjList,199.7380256652832
700,229107,False,0,15,heap,adjMatrix,272.7348804473877
700,229107,False,0,15,array,adjList,302.0169734954834
700,229107,False,0,15,array,adjMatrix,370.7571029663086
700,230361,False,0,16,heap,adjList,196.9621181488037
700,230361,False,0,16,heap,adjMatrix,268.68295669555664
700,230361,False,0,16,array,adjList,296.3898181915283
700,230361,False,0,16,array,adjMatrix,366.86015129089355
700,230971,False,0,17,heap,adjList,208.10604095458984
700,230971,False,0,17,heap,adjMatrix,281.28838539123535
700,230971,False,0,17,array,adjList,316.7600631713867
700,230971,False,0,17,array,adjMatrix,384.4947814941406
700,231931,False,0,18,heap,adjList,203.14908027648926
700,231931,False,0,18,heap,adjMatrix,273.7689018249512
700,231931,False,0,18,array,adjList,333.4999084472656
700,231931,False,0,18,array,adjMatrix,399.6777534484863
700,232258,False,0,19,heap,adjList,202.117919921875
700,232258,False,0,19,heap,adjMatrix,273.39696884155273
700,232258,False,0,19,array,adjList,321.4380741119385
700,232258,False,0,19,array,adjMatrix,387.6791000366211
700,233046,False,0,20,heap,adjList,202.59714126586914
700,233046,False,0,20,heap,adjMatrix,270.16496658325195
700,233046,False,0,20,array,adjList,322.33691215515137
700,233046,False,0,20,array,adjMatrix,385.82515716552734
700,233519,False,0,21,heap,adjList,199.09405708312988
700,233519,False,0,21,heap,adjMatrix,274.6870517730713
700,233519,False,0,21,array,adjList,341.533899307251
700,233519,False,0,21,array,adjMatrix,409.2600345611572
